tagsAndSkills,count
Python,1729
SQL,1123
Java,982
Spring Boot,790
Development,655
AWS,654
Microservices,583
CSS,513
Agile,467
Javascript,428
java,419
continuous integration,419
Automation,390
Hibernate,386
GCP,374
Data,366
HTML,326
Angular,309
React.Js,303
Spring,292
Software,275
kubernetes,267
Pyspark,258
Coding,255
Data Engineering,243
GIT,241
JavaScript,238
Boot,237
SCALA,237
rest,233
Hadoop,226
Jenkins,223
MySQL,212
Java Development,210
hive,208
Airflow,208
Postgresql,199
Linux,196
Cloud,189
Devops,187
Full Stack,186
software development,186
Analytical,185
Docker,178
data analysis,175
Oracle,173
c++,171
Spark,170
Machine learning,170
ci/cd,168
Kubernetes,168
Front end,166
project management,164
c#,163
ETL,161
algorithms,157
Terraform,157
web services,156
Machine Learning,154
Django,153
microservices,152
C#,150
Kafka,146
Troubleshooting,142
Stack,141
React,139
software testing,139
Artificial Intelligence,138
Microsoft Azure,133
Analytics,132
.Net,128
Senior,125
scala,125
microsoft azure,125
API,124
Ci/Cd,124
Data analysis,124
Github,124
devops,124
Azure,123
MongoDB,121
machine learning,120
Hive,117
Power Bi,116
J2Ee,115
business analysis,115
spring,113
Data structures,112
Node.Js,109
Python Development,108
Networking,108
C++,105
Data modeling,104
data warehousing,104
Java Fullstack,103
Healthcare,100
Version control,97
docker,96
data analytics,96
Scrum,95
Performance tuning,95
Selenium,95
Big Data,94
pyspark,93
Flask,92
Architecture,88
Maven,88
github,87
Unix,85
.Net Core,83
MVC,83
data engineering,82
Monitoring,81
Azure Cloud,81
spark,81
software engineering,80
Business Analysis,79
Business Analyst,79
etl,79
power bi,79
natural language processing,78
Azure Data Factory,77
Snowflake,76
Business analysis,76
NoSQL,76
Data quality,76
Spring Mvc,76
Web technologies,75
Typescript,75
snowflake,73
Tableau,72
JIRA,72
Bootstrap,70
data management,70
Data Science,69
Bigquery,68
JSON,67
Management,66
Data Bricks,66
Data Modeling,66
angular,66
Azure Devops,65
Natural Language Processing,65
Manager Quality Assurance,65
artificial intelligence,65
OOPS,65
RDBMS,64
jquery,64
data modeling,63
documentation,63
System design,63
CICD,63
Manager Technology,62
orchestration,61
Data management,61
Programming,60
Rest,60
java development,60
Data processing,60
Software engineering,59
Automation Testing,59
Cd,59
Open source,58
Unit testing,58
Ci Cd Pipeline,57
Software design,56
Consulting,56
Engineering,56
Generative Ai,55
Machine,55
Scala,55
Requirement Gathering,54
Workflow,54
Deep Learning,54
Data Analysis,54
microsoft,54
Aws Cloud,54
Fast Api,53
data science,53
fullstack development,53
.net,53
Big Data Engineer,53
Software testing,52
Deployment,52
Information technology,52
container,52
unit testing,52
Analysis,51
web application,51
SAP,51
PHP,51
cd,51
React.js,51
Design Patterns,51
Azure Databricks,50
Test cases,50
APIs,50
Pandas,50
Golang,49
Project management,48
Excel,48
Core Java,48
Web development,48
SDLC,48
Business intelligence,48
data structures,47
Product management,47
ASP.Net,46
jsp,46
git,46
tensorflow,45
bootstrap,45
System architecture,45
Apache,44
Powershell,44
Operations,44
performance tuning,44
dbms,43
Bi,43
Core,43
automation testing,43
golang,43
Continuous improvement,43
software design,43
Tensorflow,42
Gcp Cloud,42
Angularjs,42
PySpark,42
Fullstack Development,42
Pan,42
debugging,42
data visualization,41
confluence,41
amazon redshift,41
jQuery,40
Multithreading,40
ml,39
junit,39
Devops Tools,38
Data Visualization,38
CI/CD,38
Distribution system,38
database design,38
Ansible,37
troubleshooting,37
Data Warehousing,37
data processing,37
big data,37
jira,37
linux,36
Automation testing,36
presentation skills,36
Database design,36
DevOps,36
LLM,35
networking,35
sql server,35
communication skills,35
API Testing,34
data security,34
Etl Pipelines,34
Windows,33
sap,33
tableau,33
Supply chain,33
HTTP,33
data manipulation,33
test cases,33
Financial services,32
Shell Scripting,32
gap analysis,32
MS SQL,31
PostgreSQL,31
SQL Server,31
Data Structures,31
web api,31
root cause analysis,31
deep learning,30
SQL Queries,29
PLSQL,29
Brd,29
XML,29
Databricks,29
scikit-learn,29
j2ee,29
Data Analyst,29
api,29
Test,29
agile methodology,29
Data Flow,28
Stored procedures,28
Infrastructure,28
c,28
Redux,28
scrum,28
jenkins,28
bi,27
Performance testing,27
aws iam,27
JQuery,27
.net core,27
Wellness,27
Frontend Development,26
Data Analytics,26
Advanced Excel,26
Pytorch,26
Testing tools,26
JSP,26
Usage,26
version control,26
Configuration management,25
Schema,25
relational databases,25
information technology,25
asp,25
Java Spring Boot,25
keras,25
Production support,24
Automotive,24
TDD,24
Software development life cycle,24
problem solving,24
manual testing,24
Backend Development,24
S3,24
scalability,24
C,24
typescript,24
sql queries,24
Shell scripting,24
Aws Devops,24
Cloud computing,23
Continuous Integration,23
SR,23
Hiring,23
